itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,41005,2,90,0.22,41021.0,-4.5715,3625791,148397,47135
102110,1,TIGER 200,41030,2,100,0.24,41052.0,-4.5921,393463,16106,22382
371460,4,TIGER 차이나전기차SOLACTIVE,17610,5,-340,-1.89,,31.5982,5201031,92473,21893
252670,3,KODEX 200선물인버스2X,2090,5,-5,-0.24,2092.0,8.2687,156504906,328631,21345
153130,6,KODEX 단기채권,102900,2,5,0.0,102898.0,0.0291,1611612,165818,21280
102780,2,KODEX 삼성그룹,10295,5,-25,-0.24,10307.0,3.3033,105050,1078,16853
122630,3,KODEX 레버리지,25540,2,100,0.39,25595.0,-9.321,14259586,362410,16448
157450,6,TIGER 단기통안채,100305,2,5,0.0,100300.0,0.0648,1857,186,15734
214980,6,KODEX 단기채권PLUS,103200,5,-10,-0.01,103204.0,0.0533,3590,370,14638
273130,6,KODEX 종합채권(AA-이상)액티브,109310,5,-110,-0.1,109350.0,0.4775,3153,344,14061
292150,2,TIGER TOP10,13875,5,-20,-0.14,13898.0,-3.137,173947,2408,12710
278530,1,KODEX 200TR,13415,2,25,0.19,13434.0,-4.6297,20777,278,12174
133690,4,TIGER 미국나스닥100,81555,5,-145,-0.18,,18.3269,140020,11392,11825
114800,3,KODEX 인버스,3920,5,-10,-0.25,3926.0,4.244,36328234,142880,11419
305720,2,KODEX 2차전지산업,22380,2,320,1.45,22458.0,21.6097,4099907,91479,10966
278540,1,KODEX MSCI Korea TR,13115,2,30,0.23,13154.0,-4.5936,404562,5299,10885
148020,1,KBSTAR 200,41060,2,65,0.16,41123.0,-4.4517,88886,3649,10799
305540,2,TIGER 2차전지테마,22160,2,615,2.85,22184.0,25.0435,9477288,208417,10116
139260,2,TIGER 200 IT,36540,5,-65,-0.18,36574.0,-0.3946,162558,5911,9150
233740,1,KODEX 코스닥150 레버리지,15935,5,-320,-1.97,16078.0,15.0796,6267345,100165,7824
152100,1,ARIRANG 200,41600,2,100,0.24,41614.0,-4.3118,9979,413,7696
105190,1,KINDEX 200,41165,2,90,0.22,41191.0,-4.5212,281609,11552,6998
381170,4,TIGER 미국테크TOP10 INDXX,12090,5,-90,-0.74,,22.7204,2763765,33330,6873
091180,2,KODEX 자동차,22005,5,-115,-0.52,22005.0,-10.0996,160319,3520,6745
364980,2,TIGER KRX2차전지K-뉴딜,17460,2,150,0.87,17519.0,9.2113,1100309,19189,6652
310970,1,TIGER MSCI Korea TR,16470,5,-25,-0.15,16529.0,-4.6808,813,13,6637
293180,1,HANARO 200,41040,2,100,0.24,41053.0,-4.502,3295,134,5828
360750,4,TIGER 미국S&P500,13240,5,-20,-0.15,,11.9176,436065,5759,5799
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),11215,5,-40,-0.36,,,993861,11183,5733
069660,1,KOSEF 200,41065,2,85,0.21,41080.0,-4.4978,645,26,5708
251340,3,KODEX 코스닥150선물인버스,4240,2,40,0.95,4250.0,-8.397,30318882,128366,5402
381180,4,TIGER 미국필라델피아반도체나스닥,10825,2,100,0.93,,12.776,838906,9065,5180
314250,4,KODEX 미국FANG플러스(H),29210,5,-230,-0.78,,11.0733,295519,8592,4878
315930,2,KODEX Top5PlusTR,18725,2,75,0.4,18765.0,-5.378,5366,100,4850
294400,1,KOSEF 200TR,48770,2,80,0.16,48822.0,-4.5388,7461,363,4828
282000,3,KBSTAR 국고채3년선물인버스,100000,3,0,0.0,100018.0,0.331,6,0,4534
364960,2,TIGER KRX BBIG K-뉴딜,12625,5,-150,-1.17,12618.0,1.108,292589,3691,3844
385540,6,KBSTAR KIS종합채권(A-이상)액티브,100795,5,-25,-0.02,100747.0,0.6087,64,6,3800
332500,1,KINDEX 200TR,25065,2,55,0.22,25057.0,-4.5785,504,12,3634
229200,1,KODEX 코스닥 150,14820,5,-155,-1.04,14995.0,7.0025,1201343,17837,3623
360200,4,KINDEX 미국S&P500,13345,5,-10,-0.07,,12.0104,280816,3737,3563
091170,2,KODEX 은행,7240,2,10,0.14,7234.0,-6.1649,960891,6930,3374
290130,2,KBSTAR ESG사회책임투자,13225,2,15,0.11,13232.0,-5.5755,5586,73,3339
371160,4,TIGER 차이나항셍테크,8575,5,-190,-2.17,,-12.0422,672875,5793,3310
226490,1,KODEX 코스피,31470,2,10,0.03,31477.0,-2.8563,68633,2154,3178
367770,2,KBSTAR Fn수소경제테마,12825,2,70,0.55,12822.0,1.1498,422368,5399,3104
251350,4,KODEX 선진국MSCI World,20670,5,-30,-0.14,,9.4658,33217,685,3059
192090,4,TIGER 차이나CSI300,12035,5,-75,-0.62,,-0.4522,117719,1421,2696
143850,4,TIGER 미국S&P500선물(H),52295,5,-355,-0.67,,7.023,619452,32296,2693
332940,1,HANARO MSCI Korea TR,16515,2,95,0.58,16508.0,-4.5072,51,0,2675
295040,1,SOL 200TR,13980,2,25,0.18,13977.0,-4.5812,20135,280,2663
272560,6,KBSTAR 단기국공채액티브,102140,5,-10,-0.01,102139.0,0.0538,518915,53006,2589
108450,2,KINDEX 삼성그룹섹터가중,17060,5,-55,-0.32,17068.0,4.0109,2065,35,2576
357870,7,TIGER CD금리투자KIS(합성),50420,2,10,0.02,50408.0,0.1689,172,8,2573
367380,4,KINDEX 미국나스닥100,13995,5,-35,-0.25,,18.3966,191619,2676,2561
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19345,5,-70,-0.36,,4.9743,51937,1004,2534
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100045,5,-10,-0.01,100036.0,0.0499,26,2,2529
091160,2,KODEX 반도체,34920,5,-310,-0.88,34928.0,-3.8483,87183,3041,2497
168580,4,KINDEX 중국본토CSI300,31935,5,-285,-0.88,,-0.9682,16274,521,2395
132030,5,KODEX 골드선물(H),12120,5,-85,-0.7,,-4.8714,156116,1889,2242
196230,6,KBSTAR 단기통안채,104570,2,5,0.0,104565.0,0.0669,825396,86311,2163
190620,6,KINDEX 단기통안채,100450,3,0,0.0,100443.0,0.1046,900,90,2160
245710,4,KINDEX 베트남VN30(합성),21890,2,175,0.81,,4.6758,62626,1366,2145
332930,1,HANARO 200TR,48865,2,115,0.24,48872.0,-4.5148,163,7,2126
261220,5,KODEX WTI원유선물(H),10700,2,265,2.54,,-0.0958,517036,5514,2124
272580,6,TIGER 단기채권액티브,50155,5,-10,-0.02,50154.0,0.0598,2740,137,2084
161510,2,ARIRANG 고배당주,12660,2,40,0.32,12678.0,0.2382,140265,1770,2028
326240,2,KBSTAR IT플러스,21580,5,-75,-0.35,21587.0,0.8147,68136,1468,1882
302450,1,KBSTAR 코스피,31470,2,20,0.06,31458.0,-3.0518,50,1,1778
390950,6,HANARO 단기채권액티브,100140,3,0,0.0,100144.0,,0,0,1746
278240,1,KBSTAR 코스닥150선물레버리지,16315,5,-345,-2.07,16298.0,15.7346,8986,147,1724
232080,1,TIGER 코스닥150,15045,5,-160,-1.05,15207.0,7.0397,123491,1857,1706
143860,2,TIGER 헬스케어,43800,5,-680,-1.53,43981.0,2.7251,29860,1309,1656
182480,7,TIGER 미국MSCI리츠(합성 H),15100,5,-260,-1.69,,2.9007,107552,1628,1646
270810,1,KBSTAR 코스닥150,14755,5,-165,-1.11,14911.0,7.1069,19240,283,1635
136340,6,KBSTAR 중기우량회사채,104970,5,-50,-0.05,105006.0,-0.2707,751,78,1575
372330,4,KODEX 차이나항셍테크,8610,5,-185,-2.1,,-12.1379,735584,6348,1520
091230,2,TIGER 반도체,35840,5,-270,-0.75,35833.0,-3.8733,86010,3081,1520
150460,2,TIGER 중국소비테마,8710,5,-75,-0.85,8743.0,-7.4289,27781,241,1508
148070,6,KOSEF 국고채10년,121220,5,-240,-0.2,121270.0,0.9936,2957,358,1321
138540,2,TIGER 현대차그룹+펀더멘털,25895,5,-60,-0.23,25894.0,-6.9714,21758,561,1321
368590,4,KBSTAR 미국나스닥100,13560,5,-25,-0.18,,18.3877,178681,2416,1302
204480,4,TIGER 차이나CSI300레버리지(합성),32505,5,-190,-0.58,,-4.1484,45466,1485,1300
219480,4,KODEX 미국S&P500선물(H),21535,5,-145,-0.67,,6.9033,53853,1157,1292
252710,3,TIGER 200선물인버스2X,2170,5,-5,-0.23,2174.0,8.4788,4539161,9901,1276
329750,6,TIGER 미국달러단기채권액티브,10065,2,60,0.6,,4.6001,162285,1633,1274
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,10730,2,15,0.14,,,189498,2027,1270
379800,4,KODEX 미국S&P500TR,11580,5,-15,-0.13,,11.9208,148389,1713,1262
283580,4,KODEX 차이나CSI300,14630,2,55,0.38,,-1.0187,56542,825,1258
379810,4,KODEX 미국나스닥100TR,11970,5,-30,-0.25,,18.3431,240904,2876,1257
367760,2,KBSTAR Fn5G테크,10720,5,-15,-0.14,10715.0,-3.722,38188,407,1206
298770,4,KODEX 한국대만IT프리미어,20075,5,-130,-0.64,,1.2781,15275,306,1184
273140,6,KODEX 단기변동금리부채권액티브,102725,5,-15,-0.01,102720.0,0.151,80,8,1141
267770,3,TIGER 200선물레버리지,19220,2,65,0.34,19227.0,-9.5823,252888,4857,1134
328370,1,ARIRANG 코스피TR,15780,2,5,0.03,15783.0,-2.4127,33,0,1097
139220,2,TIGER 200 건설,3250,5,-25,-0.76,3260.0,0.7692,469025,1516,1069
325010,2,KODEX Fn성장,18105,5,-55,-0.3,18080.0,-0.4386,1191,21,1050
322400,2,HANARO e커머스,18775,5,-275,-1.44,18775.0,-1.4231,108630,2039,1042
309230,2,KINDEX 미국WideMoat가치주,17780,2,25,0.14,,6.3492,43629,774,1031
228800,2,TIGER 여행레저,5500,5,-35,-0.63,5517.0,-6.2659,630927,3470,1028
144600,5,KODEX 은선물(H),4870,5,-110,-2.21,,-13.1648,380669,1855,1008
114260,6,KODEX 국고채3년,57910,5,-70,-0.12,57943.0,-0.1292,1706,98,1008
139280,2,TIGER 경기방어,12195,5,-75,-0.61,12191.0,-3.5378,5886,71,1002
329200,2,TIGER 부동산인프라고배당,5890,5,-5,-0.08,5910.0,0.5972,83357,491,990
325020,2,KODEX 배당가치,13465,2,65,0.49,13479.0,-3.3887,7035,94,983
225040,4,TIGER 미국S&P500레버리지(합성 H),33970,5,-445,-1.29,,12.7251,38917,1319,951
261240,7,KODEX 미국달러선물,10410,2,65,0.63,10410.0,4.6006,229968,2390,946
117700,2,KODEX 건설,3750,5,-35,-0.92,3752.0,-1.175,269696,1004,938
122260,6,KOSEF 통안채1년,101210,5,-10,-0.01,101217.0,-0.0346,115025,11644,931
371470,4,TIGER 차이나바이오테크SOLACTIVE,11470,5,-95,-0.82,,-12.6841,40360,465,922
387280,2,TIGER 퓨처모빌리티액티브,11370,2,125,1.11,11395.0,10.2991,52108,591,915
364970,2,TIGER KRX바이오K-뉴딜,10305,5,-195,-1.86,10300.0,1.156,606729,6248,907
395750,2,ARIRANG ESG가치주액티브,9710,5,-5,-0.05,9725.0,,240,2,888
387270,4,TIGER 글로벌BBIG액티브,12150,2,25,0.21,,18.4082,186212,2258,886
329650,7,KODEX TRF3070,11505,2,5,0.04,11462.0,3.1852,63076,725,874
304940,4,KODEX 미국나스닥100선물(H),19645,5,-150,-0.76,,12.8885,37753,740,874
385520,2,KODEX K-미래차액티브,10715,2,70,0.66,10754.0,0.3771,169203,1807,836
174360,4,KBSTAR 중국본토대형주CSI100,21255,5,-25,-0.12,,-5.7365,2876,61,829
306520,3,HANARO 200선물인버스,9015,5,-40,-0.44,9032.0,4.3804,7771,70,825
266160,2,KBSTAR 고배당,12785,2,85,0.67,12788.0,-2.044,133755,1699,805
157490,2,TIGER 소프트웨어,16765,5,-305,-1.79,16747.0,-5.5341,178904,2999,795
195930,4,TIGER 유로스탁스50(합성 H),14180,5,-75,-0.53,,1.8214,133957,1891,780
376410,2,TIGER 탄소효율그린뉴딜,9975,2,15,0.15,9981.0,-2.8767,511182,5085,768
195980,4,ARIRANG 신흥국MSCI(합성 H),12355,5,-225,-1.79,,-5.0567,82308,1020,731
130730,6,KOSEF 단기자금,101195,5,-15,-0.01,101197.0,0.084,84772,8578,716
256750,4,KODEX 차이나심천ChiNext(합성),14535,5,-145,-0.99,,4.4468,31602,460,683
245340,4,TIGER 미국다우존스30,20700,5,-40,-0.19,,6.6323,12912,266,683
305080,6,TIGER 미국채10년선물,12165,2,45,0.37,,5.944,57429,697,669
130680,5,TIGER 원유선물Enhanced(H),3240,2,75,2.37,,0.7961,640101,2067,669
114820,6,TIGER 국채3년,110250,5,-45,-0.04,110255.0,-0.1268,675,74,662
233160,1,TIGER 코스닥150 레버리지,16940,5,-315,-1.83,17093.0,14.537,96133,1633,661
123310,3,TIGER 인버스,4345,5,-5,-0.11,4345.0,4.5673,792653,3441,656
245360,4,TIGER 차이나HSCEI,11495,5,-170,-1.46,,-7.3103,7229,83,655
228810,2,TIGER 미디어컨텐츠,8080,5,-90,-1.1,8071.0,3.2217,152811,1234,642
117680,2,KODEX 철강,10360,2,235,2.32,10379.0,0.8466,461791,4737,638
363510,6,SOL KIS단기통안채,100410,3,0,0.0,100406.0,0.0697,0,0,632
102970,2,KODEX 증권,8285,5,-75,-0.9,8292.0,-1.993,42908,355,609
091220,2,TIGER 은행,7535,5,-50,-0.66,7564.0,-5.7179,21994,165,609
385510,2,KODEX K-신재생에너지액티브,12045,2,255,2.16,12076.0,14.0232,273832,3282,608
368190,2,HANARO Fn K-뉴딜디지털플러스,12650,5,-155,-1.21,12654.0,-0.1171,20827,263,607
277630,1,TIGER 코스피,31700,5,-80,-0.25,31800.0,-2.754,3928,124,602
396510,4,TIGER 차이나클린에너지SOLACTIVE,10470,5,-235,-2.2,,,186570,1972,591
302190,6,TIGER 중장기국채,52435,5,-40,-0.08,52416.0,0.4883,959,50,566
363580,2,KODEX 200IT TR,13795,5,-20,-0.14,13800.0,-0.2888,2830,38,566
315960,2,KBSTAR 대형고배당10TR,15835,2,145,0.92,15853.0,-8.7791,12250,193,562
365000,2,TIGER KRX인터넷K-뉴딜,12065,5,-70,-0.58,12061.0,4.0737,125326,1507,561
385560,6,KBSTAR KIS국고채30년Enhanced,105800,5,-600,-0.56,105655.0,5.4237,127,13,561
266370,2,KODEX IT,20295,2,40,0.2,20345.0,0.6459,12806,259,548
289260,2,TIGER MSCI KOREA ESG리더스,11560,2,20,0.17,11578.0,-3.431,426,4,538
354350,4,HANARO 글로벌럭셔리S&P(합성),18170,2,115,0.64,,0.4171,29124,528,536
304780,1,HANARO 200선물레버리지,27910,2,95,0.34,27915.0,-9.6329,150,4,530
139230,2,TIGER 200 중공업,3425,5,-15,-0.44,3436.0,-12.3567,337034,1155,529
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,12620,5,-145,-1.14,,22.2115,51658,651,510
336160,6,KBSTAR 금융채액티브,102875,5,-55,-0.05,102916.0,-0.3582,8,0,504
397410,6,KBSTAR 국채선물5년추종인버스,50275,2,10,0.02,50293.0,,6,0,492
099140,4,KODEX 차이나H,19500,5,-280,-1.42,,-7.332,7105,138,488
375770,2,KODEX 탄소효율그린뉴딜,9945,5,-5,-0.05,9968.0,-2.6419,4824,47,477
292190,1,KODEX KRX300,18975,2,15,0.08,18984.0,-3.1418,7208,136,474
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),3765,5,-20,-0.53,,-13.9773,162465,609,452
337160,2,KODEX 200ESG,14565,2,40,0.28,14565.0,-5.0964,2074,30,452
114460,6,KINDEX 국고채3년,106310,5,-25,-0.02,106308.0,-0.155,68,7,447
361580,1,KBSTAR 200TR,21060,2,40,0.19,21063.0,-4.3241,2809,59,442
256440,4,KINDEX 인도네시아MSCI(합성),8345,5,-30,-0.36,,0.5402,8342,69,426
203780,4,TIGER 미국나스닥바이오,23225,5,-5,-0.02,,12.9314,15655,362,418
337140,2,KODEX 코스피대형주,14395,5,-50,-0.35,14469.0,-4.4327,474,6,417
243880,2,TIGER 200IT레버리지,59400,5,-680,-1.13,60000.0,-2.1658,4162,247,416
379780,4,KBSTAR 미국S&P500,11505,5,-20,-0.17,,11.6763,41273,473,414
200250,4,KOSEF 인도Nifty50(합성),18890,2,120,0.64,,14.3118,77496,1468,406
326230,2,KBSTAR 내수주플러스,10765,5,-90,-0.83,10780.0,-4.023,1974,21,405
139270,2,TIGER 200 금융,6940,5,-40,-0.57,6968.0,-4.3836,42826,297,398
204450,4,KODEX 차이나H레버리지(H),5075,5,-160,-3.06,,-24.2951,139433,709,396
395760,2,ARIRANG ESG성장주액티브,9640,5,-40,-0.41,9640.0,,662969,6372,390
280930,4,KODEX 미국러셀2000(H),14595,5,-145,-0.98,,-2.2871,5552,80,379
356540,6,KINDEX KIS종합채권(AA-이상)액티브,98735,5,-135,-0.14,98782.0,0.672,4,0,379
304770,1,HANARO 코스닥150,14790,5,-220,-1.47,14994.0,6.985,823,12,376
228790,2,TIGER 화장품,3395,5,-30,-0.88,3396.0,-18.4524,135565,459,374
341850,7,TIGER KIS부동산인프라채권TR,5675,5,-5,-0.09,5668.0,-1.7981,32156,182,372
385720,1,TIMEFOLIO Kstock액티브,10000,5,-70,-0.7,10050.0,-0.5924,10794,107,370
266360,2,KODEX 미디어&엔터테인먼트,23115,5,-320,-1.37,23117.0,-2.8803,34716,802,370
269540,4,ARIRANG 미국S&P500(H),18390,5,-155,-0.84,,7.8197,14073,258,368
123320,3,TIGER 레버리지,24260,2,110,0.46,24254.0,-9.4658,34513,833,364
276650,4,KBSTAR 글로벌4차산업IT(합성 H),24050,5,-230,-0.95,,11.9151,5446,130,361
396500,2,TIGER Fn반도체TOP10,8955,2,30,0.34,8967.0,,66441,592,358
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),10470,5,-5,-0.05,,-0.4089,14773,154,356
169950,4,KODEX 차이나A50,22130,2,85,0.39,,-9.2052,10487,232,354
310960,1,TIGER 200TR,21890,2,75,0.34,21889.0,-4.6756,404,8,350
388280,2,KBSTAR Fn컨택트대표,9880,5,-65,-0.65,9882.0,-1.8263,46317,456,350
279530,2,KODEX 고배당,10230,2,45,0.44,10258.0,-0.5857,34005,348,348
359210,1,KODEX 코스피TR,14445,5,-5,-0.03,14497.0,-3.2798,147,2,347
385600,2,네비게이터 친환경자동차밸류체인액티브,10880,2,80,0.74,10929.0,6.2992,11438,124,337
114470,6,KOSEF 국고채3년,111970,2,10,0.01,111951.0,-0.2095,115,12,336
272570,6,KBSTAR 중장기국공채액티브,103465,2,55,0.05,103434.0,-0.347,8,0,334
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,97320,5,-90,-0.09,97223.0,2.0801,203,19,334
385590,2,네비게이터 ESG액티브,9650,5,-10,-0.1,9656.0,-3.0608,1887,18,328
138230,7,KOSEF 미국달러선물,12355,2,60,0.49,12370.0,4.6382,22196,274,324
227540,2,TIGER 200 헬스케어,26500,5,-120,-0.45,26501.0,4.5561,10620,280,323
252420,3,KBSTAR 200선물인버스2X,2085,5,-15,-0.71,2092.0,8.5271,260964,547,323
244580,2,KODEX 바이오,15370,5,-185,-1.19,15446.0,9.658,35898,550,320
396520,4,TIGER 차이나반도체FACTSET,9355,5,-320,-3.31,,,138258,1300,314
266420,2,KODEX 헬스케어,19150,5,-255,-1.31,19232.0,2.1853,10249,196,306
117460,2,KODEX 에너지화학,20695,2,320,1.57,20696.0,5.2155,24521,505,304
332620,6,ARIRANG 미국장기우량회사채,104690,5,-50,-0.05,,9.4747,1000,104,298
287180,4,ARIRANG 미국나스닥기술주,25050,2,20,0.08,,18.4011,5812,145,288
331910,2,KOSEF Fn중소형,26995,5,-165,-0.61,26985.0,2.9763,1029,27,286
319640,4,TIGER 골드선물(H),12935,5,-75,-0.58,,-4.7933,16717,216,285
292160,1,TIGER KRX300,18895,2,60,0.32,18962.0,-4.0744,221,4,283
364990,2,TIGER KRX게임K-뉴딜,11110,5,-55,-0.49,11115.0,-2.1044,551083,6140,283
137610,5,TIGER 농산물선물Enhanced(H),6285,2,10,0.16,,-8.126,14241,89,283
236350,4,TIGER 인도니프티50레버리지(합성),25550,5,-100,-0.39,,31.3027,15800,403,281
217780,4,TIGER 차이나CSI300인버스(합성),7385,2,50,0.68,,-0.8784,4419,32,281
152870,1,파워 200,42130,2,125,0.3,42137.0,-4.142,54,2,274
181480,7,KINDEX 미국다우존스리츠(합성 H),97590,5,-1325,-1.34,,4.3297,4454,433,273
385710,2,TIMEFOLIO BBIG액티브,10815,5,-45,-0.41,10814.0,8.2751,28645,309,270
114100,6,KBSTAR 국고채3년,112480,2,110,0.1,112467.0,-0.284,95,10,270
277540,4,KINDEX S&P아시아TOP50,14920,5,-215,-1.42,,-4.1179,3028,45,269
354500,1,KINDEX 코스닥150,14885,5,-155,-1.03,14976.0,7.1225,1904,28,268
213630,4,ARIRANG 미국다우존스고배당주(합성 H),15435,5,-140,-0.9,,-2.7778,5177,79,267
250780,3,TIGER 코스닥150선물인버스,4350,2,35,0.81,4361.0,-7.7992,261839,1137,265
322410,2,HANARO 고배당,11620,5,-20,-0.17,11619.0,5.8181,9200,106,261
390390,4,KODEX 미국반도체MV,10830,2,130,1.21,,,32006,346,260
253250,3,KOSEF 200선물레버리지,22960,2,100,0.44,22973.0,-9.7869,4074,93,259
381560,2,HANARO Fn전기&수소차,10720,2,15,0.14,10716.0,4.541,99229,1061,257
252400,3,KBSTAR 200선물레버리지,23285,2,110,0.47,23260.0,-9.7371,13590,315,256
176950,6,KODEX 국채선물10년인버스,46885,2,105,0.22,46895.0,-1.0262,1050,49,256
138910,5,KODEX 구리선물(H),8185,2,235,2.96,,-4.0435,103057,838,254
261250,7,KODEX 미국달러선물레버리지,9970,2,105,1.06,9979.0,9.2469,97623,971,251
252410,3,KBSTAR 200선물인버스,5075,2,5,0.1,5071.0,4.1067,2084,10,249
276990,4,KODEX 글로벌4차산업로보틱스(합성),19230,2,35,0.18,,13.2448,22737,436,244
239660,6,ARIRANG 우량회사채50 1년,108585,3,0,0.0,108580.0,-0.0599,1433,155,239
160580,5,TIGER 구리실물,10125,2,145,1.45,,-5.088,101925,1029,238
377990,2,TIGER Fn신재생에너지,10575,5,-5,-0.05,10589.0,-0.2358,28833,304,238
139250,2,TIGER 200 에너지화학,21345,2,275,1.31,21347.0,3.0569,24310,517,231
285690,2,FOCUS ESG리더스,11715,5,-10,-0.09,11772.0,-2.6568,347,4,228
332610,6,ARIRANG 미국단기우량회사채,99160,5,-20,-0.02,,4.4879,16,1,228
304660,6,KODEX 미국채울트라30년선물(H),12650,5,-50,-0.39,,5.4379,11667,147,228
368680,2,KODEX Fn K-뉴딜디지털플러스,12625,5,-195,-1.52,12667.0,0.2345,7668,97,227
227570,2,TIGER 우량가치,12960,2,40,0.31,12963.0,0.3105,10628,137,226
211900,2,KODEX 배당성장,16590,2,20,0.12,16590.0,5.676,66559,1104,224
138520,2,TIGER 삼성그룹펀더멘털,12300,2,10,0.08,12303.0,-1.1661,5605,68,224
140710,2,KODEX 운송,6750,5,-5,-0.07,6751.0,-7.6556,66922,450,223
225800,3,KOSEF 미국달러선물레버리지,9495,2,125,1.33,9500.0,9.1438,9347,88,222
266410,2,KODEX 필수소비재,9245,5,-25,-0.27,9283.0,-10.7367,5420,50,222
237370,7,KODEX 배당성장채권혼합,12260,5,-15,-0.12,12288.0,1.4462,5812,71,221
